name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Aaron Connolly,FWD,Brighton,0.5,0,0,-3,0,0.3,78,7,2,0,3.4,1.2,2020-09-14T19:15:00Z,45,5,0,0,0,0,1,0,32205,3,1,32.0,1,0,0,0,55,True,0,1,,,,,
Aaron Connolly,FWD,Brighton,4.0,0,2,27,1,11.3,78,16,0,1,6.9,34.8,2020-09-20T13:00:00Z,89,14,0,0,0,0,2,0,35030,3,0,23.0,8,-1161,5332,6493,55,False,0,2,,,,,
Aaron Connolly,FWD,Brighton,2.7,0,0,2,0,12.1,78,19,2,0,1.9,0.0,2020-09-26T11:30:00Z,73,13,0,0,0,0,3,0,55356,3,2,8.0,2,13526,26823,13297,55,True,0,3,,,,,
Aaron Connolly,FWD,Brighton,2.7,0,0,7,0,0.3,78,32,3,0,0.7,3.0,2020-10-03T14:00:00Z,65,7,0,0,0,0,4,0,55125,2,4,4.0,2,-1311,10399,11710,55,False,0,4,,,,,
Aaron Connolly,FWD,Brighton,3.0,1,0,13,0,10.3,78,40,0,0,3.0,17.2,2020-10-18T13:00:00Z,12,6,0,0,0,0,5,0,46774,1,1,2.0,4,-8992,5860,14852,55,False,0,5,,,,,
Aaron Connolly,FWD,Brighton,2.5,0,0,0,0,0.0,78,51,0,0,0.0,0.0,2020-10-26T17:30:00Z,0,18,0,0,0,0,6,0,50818,1,1,0.0,0,2053,9519,7466,55,True,0,6,,,,,
Aaron Connolly,FWD,Brighton,0.8,0,0,0,0,0.0,78,67,0,0,0.0,0.0,2020-11-01T19:15:00Z,0,17,0,0,0,0,7,0,43547,1,2,0.0,0,-7045,1470,8515,55,False,0,7,,,,,
Aaron Connolly,FWD,Brighton,1.2,0,0,3,0,0.0,78,70,0,0,0.0,0.2,2020-11-06T17:30:00Z,4,4,0,0,0,0,8,0,39808,0,0,0.0,1,-4140,2117,6257,54,True,0,8,,,,,
Aaron Connolly,FWD,Brighton,0.2,0,0,0,0,0.0,78,79,0,0,0.0,0.0,2020-11-21T15:00:00Z,0,2,0,0,0,0,9,0,33468,2,1,0.0,0,-6056,967,7023,54,False,0,9,,,,,
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,12.0,78,90,1,0,4.0,0.0,2020-11-28T12:30:00Z,62,11,0,0,0,0,10,0,31760,1,1,29.0,2,-2355,591,2946,53,True,0,10,,,,,
Aaron Connolly,FWD,Brighton,1.3,0,0,0,0,1.1,78,100,1,0,3.8,1.4,2020-12-07T20:00:00Z,63,16,0,0,0,0,11,0,35089,2,1,35.0,2,2280,4597,2317,53,True,0,11,,,,,
Aaron Connolly,FWD,Brighton,0.7,0,0,3,0,0.0,78,114,0,0,0.2,2.0,2020-12-13T19:15:00Z,28,9,0,0,0,0,12,0,34652,0,3,0.0,1,-72,2757,2829,53,False,0,12,,,,,
Aaron Connolly,FWD,Brighton,1.5,0,0,0,0,0.0,78,121,0,0,0.0,0.0,2020-12-16T20:00:00Z,0,8,0,0,0,0,13,0,33931,0,0,0.0,0,-829,1380,2209,53,False,0,13,,,,,
Aaron Connolly,FWD,Brighton,1.4,0,0,-1,0,12.0,78,129,1,0,4.8,2.0,2020-12-20T12:00:00Z,90,15,0,0,0,0,14,0,32454,1,1,34.0,2,-1589,979,2568,53,True,0,14,,,,,
Aaron Connolly,FWD,Brighton,1.2,0,0,0,0,0.0,78,147,0,0,0.0,0.0,2020-12-27T14:15:00Z,0,19,0,0,0,0,15,0,31512,2,2,0.0,0,-1071,1440,2511,53,False,0,15,,,,,
Aaron Connolly,FWD,Brighton,0.2,0,0,0,0,0.0,78,149,0,0,0.0,0.0,2020-12-29T18:00:00Z,0,1,0,0,0,0,16,0,29667,1,0,0.0,0,-1854,255,2109,53,True,0,16,,,,,
Aaron Connolly,FWD,Brighton,1.4,0,0,27,0,0.0,78,159,3,1,8.7,37.0,2021-01-02T17:30:00Z,45,20,0,0,0,0,17,0,28722,3,3,50.0,5,-1081,717,1798,52,True,0,17,,,,,
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,78,178,0,0,0.0,0.0,2021-01-13T18:00:00Z,0,12,0,0,0,0,18,0,25820,0,1,0.0,0,-2045,1228,3273,52,False,0,18,,,,,
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,78,182,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,10,0,0,0,0,19,0,25125,1,0,0.0,0,-1502,135,1637,52,False,0,19,,,,,
Aaron Connolly,FWD,Brighton,0.8,0,0,0,0,0.0,78,189,0,0,0.0,0.0,2021-01-27T19:30:00Z,0,8,0,0,0,0,20,0,23575,0,0,0.0,0,-1723,133,1856,52,True,0,20,,,,,
Aaron Connolly,FWD,Brighton,0.7,0,0,0,0,1.3,78,200,0,0,1.9,0.0,2021-01-31T19:15:00Z,11,17,0,0,0,0,21,0,23710,0,1,18.0,1,39,669,630,52,True,0,21,,,,,
Aaron Connolly,FWD,Brighton,-0.6,0,0,3,0,0.6,78,216,0,0,0.2,1.0,2021-02-03T20:15:00Z,7,11,0,0,0,0,22,0,23925,1,0,0.0,1,150,778,628,52,False,0,22,,,,,
Aaron Connolly,FWD,Brighton,1.2,0,0,3,0,1.6,78,220,1,0,1.5,0.0,2021-02-06T15:00:00Z,61,4,0,0,0,0,23,0,24055,1,1,15.0,2,41,821,780,52,False,0,23,,,,,
Aaron Connolly,FWD,Brighton,0.8,0,0,0,0,0.0,78,230,0,0,0.0,0.0,2021-02-13T20:00:00Z,0,2,0,0,0,0,24,0,24669,0,0,0.0,0,449,1576,1127,52,True,0,24,,,,,
Aaron Connolly,FWD,Brighton,0.8,0,0,0,0,0.0,78,241,0,0,0.0,0.0,2021-02-22T20:00:00Z,0,6,0,0,0,0,25,0,24472,2,1,0.0,0,-211,876,1087,52,True,0,25,,,,,
Aaron Connolly,FWD,Brighton,1.5,0,0,3,0,0.4,78,258,1,0,4.0,1.0,2021-02-27T15:00:00Z,60,18,0,0,0,0,26,0,24448,0,1,39.0,2,-82,1075,1157,52,False,0,26,,,,,
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,78,260,0,0,0.0,0.0,2021-03-06T20:00:00Z,0,9,0,0,0,0,27,0,24130,2,1,0.0,0,-353,623,976,52,True,0,27,,,,,
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,78,277,0,0,0.0,0.0,2021-03-14T12:00:00Z,0,16,0,0,0,0,28,0,23279,2,1,0.0,0,-858,94,952,52,False,0,28,,,,,
Aaron Connolly,FWD,Brighton,0.4,0,0,0,0,0.0,78,279,0,0,0.0,0.0,2021-03-20T20:00:00Z,0,14,0,0,0,0,29,0,23344,0,3,0.0,0,-78,564,642,52,True,0,29,,,,,
Aaron Connolly,FWD,Brighton,-0.4,0,0,0,0,0.0,78,295,0,0,0.0,0.0,2021-04-04T18:30:00Z,0,13,0,0,0,0,30,0,22871,1,2,0.0,0,-387,194,581,52,False,0,30,,,,,
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,78,299,0,0,0.0,0.0,2021-04-12T19:15:00Z,0,7,0,0,0,0,31,0,22456,0,0,0.0,0,-423,32,455,52,True,0,31,,,,,
Aaron Connolly,FWD,Brighton,-0.4,0,0,0,0,0.0,78,311,0,0,0.0,0.0,2021-04-20T19:15:00Z,0,5,0,0,0,0,32,0,22105,0,0,0.0,0,-352,23,375,52,False,0,32,,,,,
