name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Aaron Ramsdale,GK,Sheffield Utd,2.5,0,0,12,0,0.0,483,8,2,0,1.8,18.2,2020-09-14T17:00:00Z,90,20,0,0,0,0,1,2,462939,2,0,0.0,1,0,0,0,50,True,0,1,,,,,
Aaron Ramsdale,GK,Sheffield Utd,2.0,0,0,10,0,0.0,483,10,1,0,1.1,11.2,2020-09-21T17:00:00Z,90,2,0,0,0,0,2,1,440147,0,1,0.0,2,-41600,15075,56675,50,False,0,2,,,,,
Aaron Ramsdale,GK,Sheffield Utd,2.8,0,0,26,0,10.0,483,25,1,0,5.2,42.0,2020-09-27T11:00:00Z,90,10,0,0,0,0,3,7,377916,1,0,0.0,4,-66442,9045,75487,50,True,0,3,,,,,
Aaron Ramsdale,GK,Sheffield Utd,1.7,0,0,13,0,0.0,483,29,2,0,2.1,18.6,2020-10-04T13:00:00Z,90,1,0,0,0,0,4,3,335363,1,2,2.0,2,-45840,3387,49227,50,False,0,4,,,,,
Aaron Ramsdale,GK,Sheffield Utd,3.3,0,0,18,0,0.0,483,46,1,0,2.8,27.8,2020-10-18T11:00:00Z,90,8,0,0,0,0,5,5,320507,1,1,0.0,3,-26830,21356,48186,50,True,0,5,,,,,
Aaron Ramsdale,GK,Sheffield Utd,1.3,0,0,14,0,0.0,483,54,2,0,2.2,21.8,2020-10-24T19:00:00Z,90,11,0,0,0,0,6,3,266742,1,2,0.0,2,-47258,2333,49591,49,False,0,6,,,,,
Aaron Ramsdale,GK,Sheffield Utd,1.8,0,0,24,0,0.0,483,66,1,0,4.4,44.0,2020-10-31T12:30:00Z,90,12,0,0,0,0,7,7,244340,1,0,0.0,4,-24585,1547,26132,49,True,0,7,,,,,
Aaron Ramsdale,GK,Sheffield Utd,2.3,0,0,17,0,0.0,483,71,4,0,3.1,30.8,2020-11-07T17:30:00Z,90,5,0,0,0,0,8,6,232343,1,4,0.0,2,-12557,1946,14503,49,False,0,8,,,,,
Aaron Ramsdale,GK,Sheffield Utd,2.7,0,0,12,0,0.0,483,86,1,0,1.8,18.2,2020-11-22T14:00:00Z,90,19,0,0,0,0,9,2,216545,1,0,0.0,2,-16255,2690,18945,48,True,0,9,,,,,
Aaron Ramsdale,GK,Sheffield Utd,2.8,0,0,18,0,0.0,483,97,1,0,3.5,35.2,2020-11-28T20:00:00Z,90,18,0,0,0,0,10,5,211796,0,1,0.0,3,-6816,3890,10706,48,False,0,10,,,,,
